Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,25.65,27.38,25.61,26.72,26.72,120165873
2021-01-05,26.61,27.43,26.48,27.18,27.18,95166513
2021-01-06,26.92,26.95,26.02,26.48,26.48,77628840
2021-01-07,26.77,29.13,26.6,29.13,29.13,190976305
2021-01-08,29.59,30.9,27.9,30.31,30.31,180461039
2021-01-11,30.0,31.55,28.93,29.12,29.12,148739110
2021-01-12,29.2,32.03,29.01,32.03,32.03,149170256
2021-01-13,31.69,33.43,31.6,32.34,32.34,158027281
2021-01-14,31.89,32.12,29.7,30.15,30.15,136413207
2021-01-15,30.05,30.52,28.26,29.27,29.27,101575646
2021-01-18,29.28,30.75,29.01,30.39,30.39,78821636
2021-01-19,30.3,30.64,28.57,28.76,28.76,87742830
2021-01-20,29.08,29.5,28.5,29.15,29.15,80123572
2021-01-21,29.38,30.75,29.0,30.16,30.16,107098858
2021-01-22,30.0,31.37,29.8,31.0,31.0,106477325
2021-01-25,31.0,32.35,30.18,30.42,30.42,122830018
2021-01-26,30.7,32.68,30.07,31.75,31.75,122288812
2021-01-27,31.06,31.75,29.35,31.56,31.56,113654986
2021-01-28,30.48,30.85,28.65,29.01,29.01,93491920
2021-01-29,29.31,29.58,26.4,27.26,27.26,104383612
2021-02-01,27.3,28.14,26.44,27.78,27.78,70654765
2021-02-02,28.8,29.08,27.91,28.29,28.29,60829870
2021-02-03,28.51,29.52,27.75,27.98,27.98,70524848
2021-02-04,27.1,28.15,26.88,27.7,27.7,57570421
2021-02-05,28.4,28.79,26.47,26.66,26.66,84418326
2021-02-08,26.4,26.68,25.32,26.32,26.32,57668964
2021-02-09,26.71,27.78,26.4,27.55,27.55,58828177
2021-02-10,27.5,28.55,27.18,28.09,28.09,65814383
2021-02-18,28.22,28.8,27.54,27.71,27.71,75420550
2021-02-19,27.01,27.1,25.73,26.91,26.91,97698358
2021-02-22,27.25,29.6,27.01,28.75,28.75,117042696
2021-02-23,28.76,28.88,27.18,27.35,27.35,78237020
2021-02-24,27.39,27.7,26.35,26.86,26.86,60763935
